Humedad;Temp;pm10;pm2,5;uv;etiq
0,99;0,97;0,54;0,45;0,91;1
0,99;0,97;0,55;0,47;0,88;1
0,99;0,97;0,55;0,46;0,89;1
0,99;0,97;0,53;0,48;0,93;1
0,99;0,97;0,55;0,45;0,89;1
0,99;0,97;0,55;0,46;0,90;1
0,98;0,97;0,55;0,45;0,89;1
0,98;0,97;0,54;0,47;0,89;1
0,98;0,97;0,55;0,45;0,89;1
0,98;0,97;0,55;0,48;0,90;1
0,98;0,97;0,53;0,45;0,85;1
0,98;0,97;0,56;0,49;0,90;1
0,98;0,97;0,57;0,49;0,88;1
0,98;0,97;0,55;0,47;0,89;1
0,98;0,97;0,54;0,47;0,85;1
0,98;0,97;0,55;0,47;0,85;1
0,98;0,97;0,57;0,46;0,84;1
0,98;0,97;0,52;0,45;0,81;1
0,98;0,97;0,55;0,46;0,86;1
0,98;0,98;0,55;0,47;0,81;1
0,98;0,98;0,57;0,45;0,79;1
0,98;0,98;0,55;0,45;0,79;1
0,98;0,98;0,57;0,45;0,88;1
0,98;0,97;0,55;0,45;0,89;1
0,98;0,97;0,55;0,49;0,93;1
0,98;0,97;0,58;0,46;0,89;1
0,98;0,97;0,57;0,51;0,90;1
0,98;0,98;0,54;0,51;0,93;1
0,98;0,98;0,55;0,51;0,93;1
0,98;0,98;0,58;0,47;0,93;1
0,98;0,98;0,55;0,51;0,93;1
0,98;0,98;0,54;0,45;0,93;1
0,98;0,98;0,55;0,47;0,94;1
0,98;0,98;0,57;0,46;0,96;1
0,98;0,98;0,53;0,47;0,96;1
0,98;0,94;0,54;0,46;0,96;1
0,98;0,94;0,56;0,47;0,96;1
0,98;0,94;0,54;0,47;0,96;1
0,98;0,98;0,52;0,46;0,96;1
0,98;0,98;0,55;0,45;0,94;1
0,98;0,98;0,58;0,47;0,94;1
0,98;0,98;0,53;0,45;0,94;1
0,98;0,98;0,53;0,48;0,91;1
0,98;0,98;0,54;0,45;0,91;1
0,98;0,98;0,55;0,47;0,88;1
0,98;0,98;0,55;0,47;0,89;1
0,98;0,98;0,54;0,49;0,93;1
0,98;0,99;0,53;0,50;0,89;1
0,98;0,99;0,55;0,47;0,93;1
0,98;0,99;0,57;0,45;0,93;1
0,98;0,99;0,56;0,47;0,93;1
0,98;0,99;0,55;0,45;0,93;1
0,98;0,99;0,55;0,51;0,93;1
0,98;0,99;0,54;0,49;0,93;1
0,98;0,99;0,55;0,50;0,94;1
0,98;0,99;0,54;0,45;0,96;1
0,98;0,99;0,54;0,47;0,96;1
0,98;0,99;0,55;0,49;0,96;1
0,98;0,99;0,53;0,45;0,96;2
0,98;1,00;0,52;0,47;0,96;2
0,98;1,00;0,54;0,47;0,96;2
0,84;0,84;1,00;0,64;0,78;2
0,84;0,84;0,99;0,71;0,78;2
0,84;0,84;0,99;0,66;0,78;2
0,84;0,84;0,99;0,66;0,78;2
0,84;0,84;0,98;0,66;0,78;2
0,84;0,84;0,98;0,66;0,78;2
0,84;0,84;0,97;0,64;0,78;2
0,84;0,84;0,97;0,64;0,78;2
0,84;0,84;0,97;0,66;0,78;2
0,84;0,84;0,96;0,64;0,78;2
0,84;0,84;0,96;0,64;0,78;2
0,84;0,84;0,95;0,64;0,78;2
0,84;0,84;0,95;0,64;0,78;2
0,84;0,84;0,95;0,64;0,78;2
0,85;0,84;0,94;0,64;0,78;2
