Humedad;pm10;pm2.5;uv;etiq
84;6.53;7.83;7.7;1
84;6.66;8.19;7.7;1
84;6.49;7.43;7.7;2
84;6.36;7.8;7.7;2
84;6.56;7.83;7.7;2
 72.00 ;12.17;10.57;6.2;2
 72.00 ;12.08;11.71;6.2;2
 72.00 ;12.06;10.85;6.2;2
 72.00 ;12.01;10.86;6.2;2
 72.00 ;11.96;10.86;6.2;2
 72.00 ;11.94;70.86;6.2;2
 72.00 ;11.85;10.57;6.2;2
 72.00 ;11.83;10.57;6.2;2
 72.00 ;11.78;10.86;6.2;2
 72.00 ;11.71;10.57;6.2;2
 72.00 ;11.71;10.57;6.2;2
 72.00 ;11.62;10.57;6.2;2
 72.00 ;11.59;10.57;6.2;2
 72.00 ;11.55;10.57;6.2;2
 73.00 ;11.55;10.57;6.2;2
 73.00 ;11.55;10.86;6.2;2
 73.00 ;11.48;9.43;6.2;2
 73.00 ;11.43;10.85;6.2;2
 73.00 ;11.39;16.57;6.2;2
 73.00 ;11.36;16.28;6.2;2
 73.00 ;11.36;16.29;6.2;2
 73.00 ;11.32;16;6.2;2
 73.00 ;11.27;15.14;6.2;2
 73.00 ;11.25;15.43;6.2;2
 73.00 ;11.25;10;6.2;2
 73.00 ;11.2;9.43;6.2;2
 73.00 ;11.15;9.71;6.2;2
 73.00 ;11.15;10.29;6.2;2
 73.00 ;11.13;9.14;6.2;2
 73.00 ;11.13;8.86;6.2;2
 73.00 ;11.09;8.57;6.2;2
 73.00 ;11.09;8.57;6.2;2
 73.00 ;11.04;8.86;6.2;2
 73.00 ;11.04;8.57;6.2;2
 73.00 ;11.02;8.57;6.2;2
 73.00 ;11.02;8.57;6.2;2
 73.00 ;10.97;8.86;6.2;2
 73.00 ;10.97;8.57;6.2;2
 73.00 ;10.97;8.57;6.2;2
 73.00 ;10.92;8.57;6.2;2
 73.00 ;10.9;8.57;6.2;2
 73.00 ;10.9;8.57;6.2;2
 73.00 ;10.85;8.57;6.2;2
 73.00 ;10.85;8.57;6.2;2
 73.00 ;10.85;8.57;6.2;2
 73.00 ;10.81;8.57;6.2;2
 73.00 ;10.81;8.57;6.2;2
 73.00 ;10.78;8.57;6.2;2
 73.00 ;10.78;8.57;6.2;2
